Timestamp, Event, Value
9,748,Accelerate,1
9,764,Accelerate,1
9,781,Turn Left,1
9,781,Accelerate,1
9,798,Turn Left,1
9,798,Accelerate,1
9,815,Turn Left,1
9,815,Accelerate,1
9,831,Turn Left,1
9,831,Accelerate,1
9,848,Turn Left,1
9,848,Accelerate,1
9,865,Turn Left,1
9,865,Accelerate,1
9,881,Turn Left,1
9,882,Accelerate,1
9,898,Turn Left,1
9,898,Accelerate,1
9,916,Turn Left,1
9,916,Accelerate,1
9,932,Turn Left,1
9,932,Accelerate,1
9,948,Turn Left,1
9,948,Accelerate,1
9,969,Turn Left,1
9,969,Accelerate,1
9,981,Turn Left,1
9,981,Accelerate,1
9,998,Turn Left,1
9,998,Accelerate,1
10,014,Turn Left,1
10,014,Accelerate,1
10,031,Turn Left,1
10,032,Accelerate,1
10,049,Turn Left,1
10,049,Accelerate,1
10,065,Accelerate,1
10,082,Accelerate,1
10,098,Accelerate,1
10,115,Accelerate,1
10,132,Accelerate,1
10,149,Accelerate,1
10,165,Accelerate,1
10,181,Accelerate,1
10,199,Accelerate,1
10,215,Accelerate,1
10,231,Accelerate,1
10,248,Accelerate,1
10,264,Accelerate,1
10,281,Turn Right,1
10,282,Accelerate,1
10,299,Turn Right,1
10,299,Accelerate,1
10,314,Turn Right,1
10,315,Accelerate,1
10,331,Turn Right,1
10,332,Accelerate,1
10,349,Turn Right,1
10,349,Accelerate,1
10,364,Turn Right,1
10,364,Accelerate,1
10,382,Turn Right,1
10,382,Accelerate,1
10,399,Turn Right,1
10,399,Accelerate,1
10,415,Turn Right,1
10,415,Accelerate,1
10,432,Turn Right,1
10,432,Accelerate,1
10,448,Turn Right,1
10,448,Accelerate,1
10,465,Accelerate,1
10,481,Accelerate,1
10,497,Accelerate,1
10,514,Accelerate,1
10,532,Accelerate,1
10,548,Accelerate,1
10,565,Accelerate,1
10,581,Accelerate,1
10,598,Accelerate,1
10,614,Accelerate,1
10,632,Accelerate,1
10,648,Accelerate,1
10,665,Accelerate,1
10,682,Accelerate,1
10,698,Accelerate,1
10,715,Accelerate,1
10,731,Accelerate,1
10,748,Accelerate,1
10,765,Accelerate,1
10,781,Accelerate,1
10,798,Accelerate,1
10,814,Accelerate,1
10,831,Accelerate,1
10,848,Accelerate,1
10,865,Accelerate,1
10,881,Accelerate,1
10,898,Accelerate,1
10,916,Accelerate,1
10,931,Accelerate,1
10,948,Accelerate,1
10,965,Accelerate,1
10,981,Accelerate,1
10,998,Accelerate,1
11,014,Accelerate,1
11,032,Accelerate,1
11,048,Accelerate,1
11,065,Accelerate,1
11,082,Accelerate,1
11,098,Accelerate,1
11,115,Accelerate,1
11,131,Accelerate,1
11,148,Accelerate,1
11,165,Accelerate,1
11,181,Accelerate,1
11,197,Accelerate,1
11,214,Accelerate,1
11,231,Accelerate,1
11,248,Accelerate,1
11,265,Accelerate,1
11,281,Accelerate,1
11,298,Accelerate,1
11,314,Accelerate,1
11,331,Accelerate,1
11,349,Turn Right,1
11,349,Accelerate,1
11,365,Turn Right,1
11,365,Accelerate,1
11,381,Turn Right,1
11,381,Accelerate,1
11,398,Turn Right,1
11,399,Accelerate,1
11,414,Turn Right,1
11,415,Accelerate,1
11,431,Turn Right,1
11,431,Accelerate,1
11,449,Turn Right,1
11,449,Accelerate,1
11,465,Turn Right,1
11,465,Accelerate,1
11,481,Turn Right,1
11,482,Accelerate,1
11,499,Turn Right,1
11,499,Accelerate,1
11,515,Accelerate,1
11,532,Accelerate,1
11,548,Accelerate,1
11,565,Accelerate,1
11,582,Accelerate,1
11,598,Accelerate,1
11,615,Accelerate,1
11,631,Accelerate,1
11,648,Accelerate,1
11,664,Accelerate,1
11,681,Accelerate,1
11,697,Accelerate,1
11,716,Accelerate,1
11,731,Accelerate,1
11,748,Accelerate,1
11,765,Accelerate,1
11,782,Accelerate,1
11,798,Accelerate,1
11,815,Accelerate,1
11,832,Accelerate,1
11,848,Accelerate,1
11,864,Accelerate,1
11,881,Accelerate,1
11,897,Accelerate,1
11,915,Accelerate,1
11,931,Accelerate,1
11,949,Accelerate,1
11,965,Accelerate,1
11,981,Accelerate,1
11,999,Accelerate,1
12,014,Accelerate,1
12,031,Accelerate,1
12,048,Accelerate,1
12,065,Accelerate,1
12,082,Accelerate,1
12,098,Accelerate,1
12,115,Accelerate,1
12,132,Accelerate,1
12,148,Accelerate,1
12,165,Accelerate,1
12,181,Accelerate,1
12,198,Accelerate,1
12,215,Accelerate,1
12,231,Accelerate,1
12,248,Accelerate,1
12,264,Accelerate,1
12,281,Accelerate,1
12,298,Accelerate,1
12,315,Accelerate,1
12,331,Accelerate,1
12,348,Accelerate,1
12,364,Accelerate,1
12,382,Accelerate,1
12,399,Accelerate,1
12,414,Accelerate,1
12,431,Accelerate,1
12,448,Accelerate,1
12,464,Accelerate,1
12,481,Accelerate,1
12,497,Accelerate,1
12,515,Accelerate,1
12,531,Accelerate,1
12,548,Accelerate,1
12,565,Accelerate,1
12,582,Accelerate,1
12,598,Accelerate,1
12,615,Accelerate,1
12,631,Accelerate,1
12,648,Accelerate,1
12,665,Accelerate,1
12,682,Accelerate,1
12,698,Accelerate,1
12,714,Accelerate,1
12,732,Accelerate,1
12,748,Accelerate,1
12,765,Accelerate,1
12,781,Turn Right,1
12,781,Accelerate,1
12,798,Turn Right,1
12,798,Accelerate,1
12,814,Turn Right,1
12,814,Accelerate,1
12,831,Turn Right,1
12,831,Accelerate,1
12,849,Turn Right,1
12,865,Turn Right,1
12,881,Turn Right,1
12,898,Turn Right,1
12,914,Turn Right,1
12,932,Turn Right,1
12,948,Turn Right,1
12,965,Turn Right,1
12,982,Turn Right,1
12,998,Turn Right,1
13,015,Turn Right,1
13,032,Turn Right,1
13,048,Turn Right,1
13,065,Turn Right,1
13,081,Turn Right,1
13,097,Turn Right,1
13,115,Turn Right,1
13,132,Turn Right,1
13,147,Turn Right,1
13,165,Turn Right,1
13,181,Turn Right,1
13,198,Turn Right,1
13,214,Turn Right,1
13,232,Turn Right,1
13,248,Turn Right,1
13,265,Turn Right,1
13,281,Turn Right,1
13,298,Turn Right,1
13,314,Turn Right,1
13,331,Turn Right,1
13,348,Turn Right,1
13,364,Turn Right,1
13,381,Turn Right,1
13,431,Bullet Fired,1
13,531,Bullet Fired,1
13,532,Turn Left,1
13,548,Turn Left,1
13,565,Turn Left,1
13,582,Turn Left,1
13,598,Turn Left,1
13,614,Turn Left,1
13,632,Bullet Fired,1
13,632,Turn Left,1
13,648,Turn Left,1
13,664,Turn Left,1
13,681,Turn Left,1
13,697,Turn Left,1
13,714,Turn Left,1
13,732,Bullet Fired,1
13,732,Turn Left,1
13,748,Turn Left,1
13,764,Turn Left,1
13,781,Turn Left,1
13,798,Turn Left,1
13,814,Turn Left,1
13,831,Bullet Fired,1
13,831,Turn Left,1
13,848,Turn Left,1
13,864,Turn Left,1
13,881,Turn Left,1
13,899,Turn Left,1
13,913,Turn Left,1
13,931,Bullet Fired,1
13,932,Turn Left,1
13,948,Turn Left,1
14,031,Bullet Fired,1
14,132,Bullet Fired,1
14,232,Bullet Fired,1
14,331,Bullet Fired,1
14,398,Accelerate,1
14,415,Accelerate,1
14,433,Bullet Fired,1
14,433,Turn Left,1
14,433,Accelerate,1
14,448,Turn Left,1
14,449,Accelerate,1
14,464,Enemy hit,416
14,465,Turn Left,1
14,465,Accelerate,1
14,482,Turn Left,1
14,482,Accelerate,1
14,497,Enemy hit,550
14,498,Turn Left,1
14,498,Accelerate,1
14,515,Turn Left,1
14,532,Bullet Fired,1
14,532,Turn Left,1
14,547,Turn Left,1
14,632,Bullet Fired,1
14,715,Enemy hit,566
14,715,Enemy hit,566
14,715,Enemy killed,1
14,732,Bullet Fired,1
14,764,Enemy hit,516
14,797,Bullet Missed,1
14,815,Accelerate,1
14,832,Bullet Fired,1
14,832,Accelerate,1
14,848,Enemy hit,499
14,849,Accelerate,1
14,849,Enemy killed,1
14,865,Bullet Missed,1
14,865,Accelerate,1
14,881,Accelerate,1
14,898,Accelerate,1
14,914,Accelerate,1
14,931,Bullet Fired,1
14,932,Accelerate,1
14,947,Accelerate,1
14,966,Accelerate,1
14,980,Enemy hit,333
14,981,Accelerate,1
14,997,Accelerate,1
15,015,Accelerate,1
15,032,Enemy hit,483
15,033,Enemy killed,1
15,033,Bullet Fired,1
15,033,Accelerate,1
15,049,Accelerate,1
15,064,Accelerate,1
15,082,Accelerate,1
15,098,Enemy hit,350
15,098,Accelerate,1
15,098,Enemy killed,1
15,116,Accelerate,1
15,132,Bullet Fired,1
15,132,Accelerate,1
15,148,Accelerate,1
15,164,Accelerate,1
15,181,Accelerate,1
15,198,Accelerate,1
15,215,Accelerate,1
15,231,Bullet Fired,1
15,231,Accelerate,1
15,248,Accelerate,1
15,265,Accelerate,1
15,281,Accelerate,1
15,298,Bullet Missed,1
15,298,Accelerate,1
15,315,Bullet Missed,1
15,316,Accelerate,1
15,331,Bullet Fired,1
15,331,Accelerate,1
15,348,Accelerate,1
15,431,Bullet Fired,1
15,531,Bullet Fired,1
15,633,Bullet Fired,1
15,715,Enemy hit,266
15,715,Enemy hit,266
15,715,Enemy hit,266
15,715,Enemy killed,1
15,732,Bullet Fired,1
15,781,Enemy hit,233
15,781,Enemy killed,1
15,798,Turn Left,1
15,814,Turn Left,1
15,832,Bullet Fired,1
15,832,Turn Left,1
15,849,Turn Left,1
15,865,Turn Left,1
15,881,Enemy hit,233
15,881,Enemy hit,233
15,881,Enemy killed,1
15,882,Turn Left,1
15,897,Turn Left,1
15,897,Accelerate,1
15,915,Turn Left,1
15,915,Accelerate,1
15,931,Bullet Fired,1
15,931,Turn Left,1
15,932,Accelerate,1
15,948,Accelerate,1
15,964,Accelerate,1
15,981,Enemy hit,233
15,981,Enemy hit,233
15,981,Accelerate,1
15,997,Accelerate,1
16,014,Accelerate,1
16,032,Bullet Fired,1
16,032,Accelerate,1
16,048,Accelerate,1
16,064,Accelerate,1
16,081,Enemy hit,933
16,081,Enemy hit,233
16,082,Accelerate,1
16,098,Enemy hit,850
16,098,Accelerate,1
16,113,Enemy hit,166
16,114,Enemy killed,1
16,115,Accelerate,1
16,133,Bullet Fired,1
16,133,Accelerate,1
16,148,Enemy hit,800
16,149,Accelerate,1
16,149,Enemy killed,1
16,164,Accelerate,1
16,181,Accelerate,1
16,198,Accelerate,1
16,215,Enemy hit,166
16,216,Enemy hit,166
16,216,Enemy killed,1
16,216,Accelerate,1
16,232,Bullet Fired,1
16,232,Accelerate,1
16,248,Accelerate,1
16,265,Accelerate,1
16,281,Enemy hit,133
16,281,Enemy hit,133
16,282,Enemy killed,1
16,282,Enemy killed,1
16,282,Accelerate,1
