Timestamp, Event, Value
7,238,Turn Left,1
7,256,Turn Left,1
7,272,Turn Left,1
7,289,Turn Left,1
7,306,Turn Left,1
7,322,Turn Left,1
7,339,Turn Left,1
7,356,Turn Left,1
7,372,Turn Left,1
7,389,Turn Left,1
7,406,Bullet Missed,1
7,407,Bullet Fired,1
7,407,Turn Left,1
7,422,Turn Left,1
7,506,Bullet Fired,1
7,556,Bullet Missed,1
7,605,Bullet Fired,1
7,705,Bullet Fired,1
7,805,Bullet Fired,1
7,906,Bullet Fired,1
8,007,Bullet Fired,1
8,106,Bullet Fired,1
8,223,Enemy hit,499
8,305,Enemy hit,483
8,456,Accelerate,1
8,472,Accelerate,1
8,489,Accelerate,1
8,505,Accelerate,1
8,522,Accelerate,1
8,539,Accelerate,1
8,555,Accelerate,1
8,572,Accelerate,1
8,589,Accelerate,1
8,606,Accelerate,1
8,622,Accelerate,1
8,638,Accelerate,1
8,655,Accelerate,1
8,671,Accelerate,1
8,689,Turn Left,1
8,689,Accelerate,1
8,705,Turn Left,1
8,705,Accelerate,1
8,722,Turn Left,1
8,722,Accelerate,1
8,739,Turn Left,1
8,739,Accelerate,1
8,755,Turn Left,1
8,755,Accelerate,1
8,772,Turn Left,1
8,772,Accelerate,1
8,789,Turn Left,1
8,789,Accelerate,1
8,806,Turn Left,1
8,806,Accelerate,1
8,823,Turn Left,1
8,823,Accelerate,1
8,839,Turn Left,1
8,839,Accelerate,1
8,856,Turn Left,1
8,856,Accelerate,1
8,872,Turn Left,1
8,872,Accelerate,1
8,889,Turn Left,1
8,889,Accelerate,1
8,905,Turn Left,1
8,905,Accelerate,1
8,921,Turn Left,1
8,922,Accelerate,1
8,939,Turn Left,1
8,939,Accelerate,1
8,956,Accelerate,1
8,973,Accelerate,1
8,989,Accelerate,1
9,040,Bullet Fired,1
9,088,Bullet Missed,1
9,140,Bullet Fired,1
9,239,Bullet Fired,1
9,258,Turn Right,1
9,272,Turn Right,1
9,289,Turn Right,1
9,305,Turn Right,1
9,322,Turn Right,1
9,338,Enemy hit,183
9,338,Turn Right,1
9,339,Enemy killed,1
9,357,Bullet Fired,1
9,357,Turn Right,1
9,372,Turn Right,1
9,390,Turn Right,1
9,405,Turn Right,1
9,422,Turn Right,1
9,438,Turn Right,1
9,455,Bullet Fired,1
9,455,Turn Right,1
9,472,Turn Right,1
9,488,Turn Right,1
9,556,Bullet Fired,1
9,556,Turn Left,1
9,572,Turn Left,1
9,588,Turn Left,1
9,605,Turn Left,1
9,622,Turn Left,1
9,639,Turn Left,1
9,656,Bullet Fired,1
9,656,Turn Left,1
9,673,Turn Left,1
9,688,Turn Left,1
9,706,Turn Left,1
9,722,Turn Left,1
9,739,Turn Left,1
9,755,Turn Left,1
9,772,Turn Left,1
9,788,Turn Left,1
9,805,Turn Left,1
9,823,Turn Left,1
9,839,Turn Left,1
9,856,Turn Left,1
9,872,Turn Left,1
9,890,Turn Left,1
9,905,Turn Left,1
9,922,Turn Left,1
9,939,Turn Left,1
9,956,Turn Left,1
9,973,Bullet Fired,1
9,973,Turn Left,1
9,988,Turn Left,1
10,006,Turn Left,1
10,022,Bullet Missed,1
10,072,Bullet Missed,1
10,073,Bullet Fired,1
10,123,Bullet Missed,1
10,138,Bullet Missed,1
10,172,Bullet Fired,1
10,256,Turn Left,1
10,271,Bullet Fired,1
10,271,Turn Left,1
10,289,Turn Left,1
10,305,Turn Left,1
10,322,Turn Left,1
10,339,Turn Left,1
10,356,Turn Left,1
10,372,Bullet Fired,1
10,372,Turn Left,1
10,389,Turn Left,1
10,406,Turn Left,1
10,455,Bullet Missed,1
10,471,Bullet Fired,1
10,524,Turn Right,1
10,539,Turn Right,1
10,555,Turn Right,1
10,572,Bullet Fired,1
10,572,Turn Right,1
10,589,Turn Right,1
10,605,Turn Right,1
10,622,Turn Right,1
10,639,Turn Right,1
10,655,Turn Right,1
10,671,Bullet Missed,1
10,672,Bullet Fired,1
10,672,Turn Right,1
10,689,Turn Right,1
10,705,Turn Right,1
10,722,Turn Right,1
10,739,Turn Right,1
10,755,Turn Right,1
10,772,Bullet Fired,1
10,772,Turn Right,1
10,789,Turn Right,1
10,805,Turn Right,1
10,822,Turn Right,1
10,839,Turn Right,1
10,855,Turn Right,1
10,872,Bullet Fired,1
10,872,Turn Right,1
10,923,Turn Left,1
10,938,Bullet Missed,1
10,939,Turn Left,1
10,955,Turn Left,1
10,972,Bullet Fired,1
10,972,Turn Left,1
10,989,Turn Left,1
11,006,Turn Left,1
11,023,Turn Left,1
11,039,Turn Left,1
11,056,Turn Left,1
11,072,Bullet Fired,1
11,073,Turn Left,1
11,088,Turn Left,1
11,106,Turn Left,1
11,123,Turn Left,1
11,138,Turn Left,1
11,156,Turn Left,1
11,172,Bullet Fired,1
11,172,Turn Left,1
11,189,Turn Left,1
11,205,Turn Left,1
11,222,Turn Left,1
11,273,Bullet Fired,1
11,273,Accelerate,1
11,289,Accelerate,1
11,305,Accelerate,1
11,323,Accelerate,1
11,338,Bullet Missed,1
11,339,Accelerate,1
11,355,Accelerate,1
11,373,Bullet Fired,1
11,373,Accelerate,1
11,389,Accelerate,1
11,405,Accelerate,1
11,423,Accelerate,1
11,438,Accelerate,1
11,455,Accelerate,1
11,473,Bullet Fired,1
11,473,Turn Right,1
11,473,Accelerate,1
11,489,Turn Right,1
11,489,Accelerate,1
11,505,Turn Right,1
11,505,Accelerate,1
11,523,Enemy hit,333
11,524,Turn Right,1
11,524,Accelerate,1
11,538,Turn Right,1
11,538,Accelerate,1
11,556,Turn Right,1
11,556,Accelerate,1
11,572,Bullet Fired,1
11,572,Turn Right,1
11,572,Accelerate,1
11,589,Turn Right,1
11,589,Accelerate,1
11,605,Turn Right,1
11,605,Accelerate,1
11,621,Turn Right,1
11,621,Accelerate,1
11,638,Turn Right,1
11,638,Accelerate,1
11,656,Turn Right,1
11,656,Accelerate,1
11,672,Bullet Fired,1
11,672,Turn Right,1
11,672,Accelerate,1
11,689,Turn Right,1
11,689,Accelerate,1
11,705,Bullet Missed,1
11,706,Turn Right,1
11,706,Accelerate,1
11,723,Bullet Missed,1
11,723,Accelerate,1
11,739,Bullet Missed,1
11,739,Turn Left,1
11,739,Accelerate,1
11,755,Bullet Missed,1
11,755,Turn Left,1
11,755,Accelerate,1
11,773,Bullet Fired,1
11,773,Turn Left,1
11,773,Accelerate,1
11,788,Turn Left,1
11,789,Accelerate,1
11,805,Turn Left,1
11,805,Accelerate,1
11,823,Turn Left,1
11,823,Accelerate,1
11,838,Bullet Missed,1
11,839,Turn Left,1
11,839,Accelerate,1
11,855,Turn Left,1
11,856,Accelerate,1
11,872,Bullet Fired,1
11,872,Turn Left,1
11,872,Accelerate,1
11,889,Turn Left,1
11,889,Accelerate,1
11,905,Turn Left,1
11,906,Accelerate,1
11,922,Turn Left,1
11,922,Accelerate,1
11,939,Turn Left,1
11,939,Accelerate,1
11,955,Accelerate,1
11,973,Bullet Fired,1
11,973,Accelerate,1
11,988,Accelerate,1
12,005,Accelerate,1
12,021,Accelerate,1
12,039,Accelerate,1
12,055,Accelerate,1
12,072,Bullet Fired,1
12,072,Accelerate,1
12,088,Bullet Missed,1
12,088,Accelerate,1
12,106,Accelerate,1
12,122,Accelerate,1
12,138,Enemy hit,150
12,139,Accelerate,1
12,156,Accelerate,1
12,172,Bullet Fired,1
12,172,Accelerate,1
12,189,Accelerate,1
12,205,Enemy hit,116
12,205,Accelerate,1
12,205,Enemy killed,1
12,222,Accelerate,1
12,238,Accelerate,1
12,255,Accelerate,1
12,271,Bullet Fired,1
12,272,Accelerate,1
12,289,Accelerate,1
12,305,Accelerate,1
12,322,Accelerate,1
12,339,Accelerate,1
12,355,Accelerate,1
12,372,Bullet Fired,1
12,372,Accelerate,1
12,388,Accelerate,1
12,405,Accelerate,1
12,422,Accelerate,1
12,438,Accelerate,1
12,456,Accelerate,1
12,472,Bullet Fired,1
12,472,Accelerate,1
12,489,Accelerate,1
12,505,Accelerate,1
12,522,Accelerate,1
12,539,Accelerate,1
12,555,Enemy hit,1266
12,556,Accelerate,1
12,571,Enemy hit,1183
12,573,Bullet Fired,1
12,573,Accelerate,1
12,588,Accelerate,1
12,605,Accelerate,1
12,622,Accelerate,1
12,639,Accelerate,1
12,655,Accelerate,1
12,673,Bullet Fired,1
12,673,Accelerate,1
12,689,Accelerate,1
12,706,Accelerate,1
12,722,Accelerate,1
12,739,Accelerate,1
12,755,Accelerate,1
12,773,Accelerate,1
12,788,Bullet Missed,1
12,789,Accelerate,1
12,806,Accelerate,1
12,822,Accelerate,1
12,839,Accelerate,1
12,855,Accelerate,1
12,872,Accelerate,1
12,889,Turn Right,1
12,889,Accelerate,1
12,906,Turn Right,1
12,906,Accelerate,1
12,922,Turn Right,1
12,922,Accelerate,1
