Timestamp, Event, Value
15,529,Bullet Missed,1
15,563,Bullet Fired,1
15,578,Enemy hit,799
15,597,Turn Right,1
15,611,Bullet Missed,1
15,612,Turn Right,1
15,629,Turn Right,1
15,645,Turn Right,1
15,662,Enemy hit,783
15,663,Bullet Fired,1
15,663,Turn Right,1
15,679,Turn Right,1
15,696,Accelerate,1
15,713,Accelerate,1
15,729,Accelerate,1
15,746,Accelerate,1
15,761,Enemy hit,783
15,762,Enemy killed,1
15,762,Accelerate,1
15,779,Accelerate,1
15,795,Bullet Missed,1
15,795,Accelerate,1
15,812,Accelerate,1
15,829,Accelerate,1
15,845,Accelerate,1
15,862,Accelerate,1
15,879,Accelerate,1
15,895,Bullet Missed,1
15,895,Accelerate,1
15,912,Accelerate,1
15,929,Accelerate,1
15,945,Bullet Missed,1
15,946,Accelerate,1
15,962,Turn Left,1
15,962,Accelerate,1
15,979,Turn Left,1
15,979,Accelerate,1
15,996,Turn Left,1
15,996,Accelerate,1
16,013,Turn Left,1
16,013,Accelerate,1
16,029,Turn Left,1
16,029,Accelerate,1
16,045,Turn Left,1
16,046,Accelerate,1
16,062,Accelerate,1
16,079,Accelerate,1
16,095,Accelerate,1
16,112,Accelerate,1
16,129,Accelerate,1
16,146,Accelerate,1
16,163,Accelerate,1
16,179,Accelerate,1
16,195,Accelerate,1
16,212,Turn Left,1
16,212,Accelerate,1
16,229,Turn Left,1
16,229,Accelerate,1
16,245,Turn Left,1
16,245,Accelerate,1
16,261,Turn Left,1
16,261,Accelerate,1
16,278,Turn Left,1
16,279,Accelerate,1
16,295,Turn Left,1
16,295,Accelerate,1
16,312,Turn Left,1
16,312,Accelerate,1
16,330,Turn Left,1
16,330,Accelerate,1
16,346,Bullet Fired,1
16,347,Turn Left,1
16,347,Accelerate,1
16,363,Turn Left,1
16,363,Accelerate,1
16,379,Turn Left,1
16,379,Accelerate,1
16,395,Turn Left,1
16,395,Accelerate,1
16,413,Accelerate,1
16,429,Accelerate,1
16,448,Bullet Fired,1
16,448,Accelerate,1
16,462,Accelerate,1
16,546,Bullet Fired,1
16,595,Enemy hit,133
16,646,Bullet Fired,1
16,662,Enemy hit,99
16,729,Enemy hit,66
16,730,Enemy killed,1
16,747,Bullet Fired,1
16,846,Bullet Fired,1
16,946,Bullet Fired,1
17,046,Bullet Missed,1
17,047,Bullet Fired,1
17,145,Accelerate,1
17,162,Accelerate,1
17,179,Bullet Missed,1
17,179,Accelerate,1
17,195,Accelerate,1
17,212,Bullet Missed,1
17,212,Accelerate,1
17,229,Accelerate,1
17,247,Accelerate,1
17,262,Accelerate,1
17,278,Accelerate,1
17,295,Accelerate,1
17,312,Accelerate,1
17,329,Accelerate,1
17,346,Accelerate,1
17,362,Accelerate,1
17,379,Bullet Missed,1
17,379,Accelerate,1
17,396,Accelerate,1
17,412,Accelerate,1
17,429,Accelerate,1
17,445,Accelerate,1
17,461,Enemy collision,1
17,462,Damage taken,1
17,462,Enemy killed,1
17,462,Accelerate,1
17,479,Accelerate,1
17,495,Accelerate,1
17,512,Accelerate,1
17,529,Accelerate,1
17,547,Accelerate,1
17,562,Bullet Missed,1
17,569,Accelerate,1
17,579,Accelerate,1
17,596,Accelerate,1
17,612,Accelerate,1
17,628,Accelerate,1
17,646,Accelerate,1
17,662,Accelerate,1
17,679,Accelerate,1
17,696,Accelerate,1
17,713,Accelerate,1
17,729,Accelerate,1
17,747,Accelerate,1
17,761,Accelerate,1
17,779,Accelerate,1
17,797,Bullet Missed,1
17,798,Accelerate,1
17,812,Accelerate,1
17,828,Accelerate,1
17,845,Bullet Missed,1
17,845,Accelerate,1
17,863,Accelerate,1
17,878,Accelerate,1
17,895,Accelerate,1
17,912,Accelerate,1
17,929,Accelerate,1
17,947,Accelerate,1
17,962,Accelerate,1
17,980,Accelerate,1
17,996,Accelerate,1
18,012,Accelerate,1
18,028,Accelerate,1
18,045,Accelerate,1
18,062,Accelerate,1
18,079,Accelerate,1
18,095,Accelerate,1
18,112,Accelerate,1
18,129,Accelerate,1
18,145,Accelerate,1
18,162,Accelerate,1
18,179,Accelerate,1
18,196,Accelerate,1
18,213,Accelerate,1
18,229,Accelerate,1
18,246,Accelerate,1
18,262,Accelerate,1
18,279,Accelerate,1
18,294,Accelerate,1
18,312,Accelerate,1
18,329,Accelerate,1
18,346,Accelerate,1
18,362,Accelerate,1
18,379,Accelerate,1
18,396,Accelerate,1
18,412,Accelerate,1
18,430,Accelerate,1
18,445,Accelerate,1
18,461,Accelerate,1
18,479,Accelerate,1
18,496,Accelerate,1
18,512,Accelerate,1
18,528,Accelerate,1
18,547,Turn Right,1
18,547,Accelerate,1
18,562,Turn Right,1
18,562,Accelerate,1
18,578,Turn Right,1
18,578,Accelerate,1
18,595,Turn Right,1
18,595,Accelerate,1
18,613,Turn Right,1
18,613,Accelerate,1
18,629,Turn Right,1
18,629,Accelerate,1
18,645,Turn Right,1
18,645,Accelerate,1
18,662,Turn Right,1
18,662,Accelerate,1
18,679,Turn Right,1
18,679,Accelerate,1
18,695,Turn Right,1
18,695,Accelerate,1
18,711,Turn Right,1
18,712,Accelerate,1
18,729,Turn Right,1
